date,murder,attempted_murder,accessory_murder,manslaughter,assault_domestic,assault_nondomestic,assault_police,assault_sexual,sexual_other,abduction,robbery_unarmed,robbery_gun,robbery_nogun,blackmail,stalking,offence_against_person,be_dwelling,be_nondwelling,handling_stolen,theft_car,theft_incar,theft_store,theft_dwelling,theft_person,theft_stock,fraud,theft_other,arson,damage,possession_cocaine,possession_narcotics,possession_cannibis,possession_amphetamines,possession_ecstasy,possession_other,dealing_cocaine,dealing_narcotics,dealing_cannabis,dealing_amphetamines,dealing_ecstasy,dealing_other,cultivating_cannabis,manufacture_drug,importing_drugs,drug_other,weapons_offence,trespass,offensive_conduct,offensive_language,criminal_intent,gaming_offence,drink_offence,porn_offence,prostitution_offence,escape_custody,breach_avo,breach_bail,fail_to_appear,resist_officer,against_justice,transport_offence,other
9/1/2011,3,3,0,1,2030,3025,177,435,494,31,259,28,140,8,2441,88,3282,1368,460,1631,3859,1744,1778,663,52,3083,2812,571,7433,61,65,1252,262,95,228,31,64,80,73,35,25,59,9,2,328,677,751,686,448,131,7,1510,27,7,22,1024,2593,88,507,30,5117,1101
10/1/2011,10,2,0,1,2261,3183,206,397,561,25,216,29,114,6,2384,101,3301,1538,490,1598,4411,1528,1816,678,57,2809,3015,504,7737,44,58,1193,204,102,204,10,27,56,91,26,23,88,5,3,331,602,744,758,436,162,5,1236,21,6,19,1013,2888,78,563,45,5373,1311
11/1/2011,13,4,0,1,2367,2958,151,404,548,33,247,39,127,3,2393,115,3337,1320,446,1705,4014,1559,1839,685,42,3009,2839,536,7019,25,40,976,217,78,152,11,27,49,58,24,15,98,9,4,340,493,680,419,305,153,15,780,33,2,20,1094,2412,81,400,38,1547,808
12/1/2011,7,5,0,0,2369,3222,223,316,405,39,253,50,159,5,2355,95,3194,1599,542,1701,4207,1912,1885,824,52,3131,3089,590,7551,40,57,1288,278,82,217,9,7,66,106,39,16,124,8,25,349,647,780,725,507,141,23,1555,27,1,25,1019,2861,75,639,40,3691,1299
1/1/2012,7,0,0,2,2616,3161,229,360,470,23,239,32,118,9,2614,98,3300,1543,550,1654,4176,1701,2111,802,66,3500,3305,607,7945,47,69,1154,305,138,250,7,10,45,38,19,17,149,4,10,347,737,856,789,502,148,14,1218,25,2,23,1127,2766,68,623,36,4649,1734
2/1/2012,6,2,1,1,2236,3082,193,389,515,27,240,22,124,9,2549,94,3324,1347,535,1594,3875,1767,1875,600,43,3356,2917,441,6455,36,75,1207,255,48,236,13,17,58,108,13,19,144,9,2,366,647,732,604,409,140,12,1240,34,9,17,1103,2419,51,481,31,4296,1230
3/1/2012,4,2,0,2,2275,3242,176,380,483,23,271,39,141,5,2587,94,3389,1307,495,1760,4434,2000,1813,770,45,3462,3115,548,6953,49,54,1194,286,221,293,40,25,72,126,31,40,209,5,2,379,621,820,718,361,131,13,1155,27,1,27,1083,2493,37,530,30,5540,1088
4/1/2012,4,5,0,0,2258,2918,203,336,424,26,242,43,131,5,2361,99,3417,1524,504,1643,4085,1779,1760,770,45,3244,2884,587,6780,48,77,1409,299,114,264,8,31,37,75,46,17,89,7,8,376,708,734,686,417,148,25,1082,34,3,28,995,2552,87,542,32,4333,1372
5/1/2012,8,3,0,2,2080,2839,145,443,411,31,250,43,97,9,2508,108,3358,1391,584,1514,4052,2014,1786,648,52,3834,2991,624,6390,38,72,1499,277,86,267,17,30,45,84,51,21,71,11,13,419,710,666,587,359,129,7,996,35,12,20,1095,2463,73,474,34,6273,1245
6/1/2012,4,2,0,3,1950,2595,182,404,378,20,228,42,110,7,2165,104,3034,1208,553,1355,3562,1856,1574,623,33,3599,2622,499,6356,39,74,1264,318,88,232,19,170,210,105,36,15,52,4,7,335,661,678,601,385,129,5,1299,29,8,20,963,2466,60,522,35,5748,1149
7/1/2012,9,1,1,0,2165,2663,156,325,399,20,191,18,121,9,2331,107,3174,1278,501,1476,3508,1755,1734,640,58,3550,2726,523,6922,42,73,1521,343,161,268,20,16,50,81,23,14,47,5,4,403,701,689,632,371,126,7,1233,28,11,15,1003,2428,60,489,39,5046,1026
8/1/2012,6,1,0,1,2232,2835,185,475,489,41,210,43,109,15,2724,108,3456,1261,542,1345,3673,1686,1712,624,49,3491,2792,665,6950,59,61,1321,286,88,250,14,133,63,165,19,21,47,4,6,379,679,725,570,331,162,9,1106,36,19,18,1041,2245,42,438,39,4415,1167
9/1/2012,9,4,0,0,2236,2935,168,385,478,28,213,24,131,13,2548,120,3533,1305,563,1422,3767,1748,1620,641,46,3804,2764,738,7007,54,69,1255,359,228,253,17,17,99,102,25,16,51,7,1,434,645,732,614,381,163,9,1078,28,19,11,1071,2516,74,480,27,3926,1207
10/1/2012,5,0,0,0,2301,2956,168,426,528,26,263,33,125,12,2668,93,3775,1446,688,1596,4275,1843,1951,658,52,4103,2876,665,7170,56,66,1239,344,73,297,18,12,87,185,29,12,71,9,7,413,740,823,565,315,179,2,924,45,13,26,1094,2756,66,424,36,4413,1214
11/1/2012,5,4,1,1,2467,3014,185,509,635,32,229,23,107,11,2691,89,3470,1368,629,1491,3907,1873,1935,635,44,4129,2963,580,7012,50,58,1409,327,183,307,20,23,60,186,31,23,136,8,9,387,730,820,642,367,137,2,1295,23,1,16,1107,2759,68,533,53,5353,1340
12/1/2012,6,2,1,1,2734,3326,244,357,499,27,205,20,105,10,2513,97,3388,1306,590,1432,3783,1994,2013,689,29,3586,2916,579,6808,88,69,1416,342,180,316,13,72,47,117,46,26,155,7,7,456,709,764,831,494,176,20,1915,14,1,16,1182,2819,67,631,43,4662,1658
1/1/2013,8,5,0,0,2767,2988,247,378,460,18,246,31,103,10,2669,121,3403,1354,594,1429,3903,1760,2163,653,40,4486,3305,756,6999,58,71,1283,357,273,309,11,12,42,61,78,22,154,9,8,405,717,821,691,450,179,9,1317,34,1,17,1220,2766,85,685,53,5443,1725
2/1/2013,9,3,0,0,2188,2806,217,376,475,18,196,20,100,5,2472,104,2903,1061,498,1261,3491,1843,1682,620,37,3918,2721,383,5835,69,46,1133,279,122,294,17,91,66,129,60,12,142,6,8,341,634,660,571,311,170,5,1058,31,5,30,1102,2522,65,510,39,4567,1135
3/1/2013,7,1,0,1,2605,3202,234,365,577,29,237,18,124,14,2686,99,3111,1241,637,1422,3756,1991,1726,693,27,4355,3030,522,6557,63,53,1424,341,275,329,15,25,67,109,37,31,202,7,3,420,691,818,747,443,178,7,1261,45,2,23,1149,2901,92,574,54,5720,1284
4/1/2013,11,1,0,0,2119,2641,210,349,478,22,213,27,102,3,2253,105,2860,1373,554,1277,3812,1784,1692,629,49,4085,2794,481,6572,58,54,1122,289,167,277,13,51,71,200,36,29,119,7,8,359,622,766,564,368,132,11,1049,34,4,13,1082,2746,77,515,42,6167,1176
5/1/2013,3,2,1,0,2116,2777,197,413,599,22,229,29,135,10,2428,98,2950,1309,570,1317,3702,2005,1735,578,34,4420,2850,558,6638,49,60,1360,309,71,300,13,17,133,86,97,26,58,9,6,420,791,713,572,304,146,5,999,53,7,21,1052,2820,67,462,41,7067,1234
6/1/2013,4,5,0,0,2111,2717,186,335,511,23,190,25,136,6,2344,76,2738,1256,536,1484,3986,1869,1671,604,34,4490,2531,541,6269,38,55,1249,316,85,285,7,31,56,97,26,30,35,15,13,400,669,743,612,333,151,10,1002,28,7,16,1000,2791,65,480,43,5685,1178
7/1/2013,9,4,0,0,2101,2529,180,360,459,28,203,30,105,10,2347,86,2708,1285,521,1309,3814,1944,1754,589,44,4474,2666,567,6261,54,62,1429,357,107,285,16,13,65,122,21,14,58,6,6,365,907,663,513,290,150,8,905,40,4,17,985,2537,54,431,27,4836,1138
8/1/2013,6,2,0,0,2169,2805,230,416,555,23,201,35,121,5,2512,101,2992,1189,589,1358,3691,1825,1847,540,52,4288,2641,691,6369,59,71,1363,347,57,293,10,13,116,272,15,23,52,7,9,398,892,699,623,345,166,7,1134,50,5,20,1123,2565,67,502,50,5811,1237
9/1/2013,8,3,0,0,2286,2768,210,419,561,24,169,30,126,7,2422,120,2927,1189,580,1296,3813,1680,1799,535,35,3514,2897,717,6361,68,53,1159,329,196,275,32,19,95,114,34,21,65,7,4,346,869,733,580,282,149,5,1265,46,2,15,1065,2636,60,408,43,5329,1096
10/1/2013,12,5,0,0,2483,2794,232,445,565,19,188,34,123,7,2444,107,2950,1169,572,1216,3738,1671,1809,561,41,3901,2903,725,6112,45,77,1271,299,76,304,40,18,63,104,30,32,91,9,5,352,951,730,604,340,161,10,1231,40,5,6,1109,2762,49,552,41,7005,1465
11/1/2013,6,5,1,0,2482,2882,200,453,543,21,212,21,103,7,2441,103,2842,1035,664,1294,3581,1633,1837,584,32,4495,2837,444,5976,57,62,1321,357,214,307,10,29,110,182,21,18,121,9,5,429,1038,705,601,331,190,6,1531,38,1,13,1056,2656,60,565,43,6818,1367
12/1/2013,12,2,1,1,2994,3166,311,411,574,17,182,25,116,10,2602,102,2890,1137,575,1288,3481,1829,1928,585,38,3872,2851,475,6278,78,54,1411,377,183,286,35,9,107,112,30,9,128,12,6,458,934,787,739,505,160,7,1874,40,1,25,1140,2935,79,711,58,6278,1550
1/1/2014,8,0,0,0,2852,2912,265,395,523,28,173,19,102,14,2823,113,3019,1048,631,1326,3582,1763,2138,621,43,4450,3109,570,6498,68,59,1507,404,293,320,24,49,95,133,41,30,152,9,3,439,984,814,683,486,161,9,1315,60,4,19,1207,2752,48,750,47,7313,1720
2/1/2014,6,1,0,1,2367,2600,202,420,637,31,158,33,116,5,2452,116,2804,1049,561,1181,3230,1603,1797,462,39,3951,2559,417,5383,48,68,1414,358,74,305,40,54,71,185,64,23,260,13,3,399,983,784,509,336,166,7,914,54,3,15,1155,2454,44,506,42,6359,1195
3/1/2014,6,5,0,0,2689,2990,223,453,689,32,174,20,80,13,2717,139,3070,1007,655,1268,3678,1748,1847,605,41,4582,2800,457,6008,58,54,1382,390,266,365,20,14,56,112,46,28,185,3,3,419,971,792,635,396,209,11,1208,49,9,22,1156,3026,53,615,41,6841,1315
4/1/2014,8,4,0,2,2300,2439,230,382,481,19,158,28,108,9,2218,95,2896,1013,666,1170,3227,1533,1637,553,40,4094,2590,401,5479,77,71,1702,457,137,299,20,6,49,126,66,27,110,9,3,394,912,659,524,380,140,6,1311,40,25,16,1064,2562,51,600,45,6749,1299
5/1/2014,6,1,0,0,2253,2650,206,463,566,27,166,12,119,6,2380,91,2814,1138,626,1189,3670,1793,1830,476,39,4307,2770,422,5466,63,75,1650,453,63,307,20,16,79,100,32,27,69,6,9,408,930,702,522,343,150,11,985,43,26,10,1060,2629,57,493,50,6978,1171
6/1/2014,6,0,0,0,2102,2319,173,422,531,23,149,19,115,7,2198,87,2832,1084,583,1152,3709,1721,1742,455,38,4049,2567,398,5383,66,74,1543,386,77,239,57,37,84,151,23,30,51,5,1,358,979,688,431,290,188,19,1159,37,72,7,975,2545,42,449,69,6385,1179
7/1/2014,9,2,0,1,2119,2301,180,425,491,21,159,24,83,9,2221,96,2420,983,570,1103,3422,1837,1876,437,44,3886,2552,493,5653,66,68,1579,523,144,270,22,19,55,182,26,28,62,10,3,400,1059,706,474,293,153,7,1000,39,46,6,1012,2518,67,452,49,6146,1151
8/1/2014,5,0,1,0,2232,2438,205,421,525,15,172,36,102,3,2345,115,2605,1026,632,1214,3444,1687,1673,445,34,4029,2473,509,5343,82,59,1502,476,100,268,19,5,88,341,67,26,48,11,7,396,1059,747,505,350,153,2,1014,42,15,17,1088,2966,48,510,52,5876,1030
9/1/2014,16,1,0,1,2334,2481,196,390,450,25,170,20,95,4,2571,111,2905,1216,585,1237,3747,1669,1946,479,49,3813,2639,492,5692,71,84,1404,432,200,252,26,57,151,223,45,17,62,10,4,408,995,710,430,293,157,9,886,36,12,11,1031,2333,70,477,43,6830,1100
10/1/2014,4,3,0,0,2501,2823,201,423,555,17,147,40,108,10,2638,100,2936,1050,620,1363,4003,1685,1931,527,50,3835,2759,481,5791,94,71,1632,516,138,267,22,11,48,187,28,17,89,4,2,442,1051,821,512,352,196,16,867,39,14,9,1149,2785,86,545,41,8559,1264
11/1/2014,11,3,0,0,2653,2919,200,420,570,34,149,24,87,16,2648,119,2851,1024,649,1333,3513,1717,2035,552,42,4077,2741,535,5763,123,59,1352,474,365,246,31,16,58,235,112,25,110,6,2,381,933,766,534,365,189,4,1097,43,26,12,1180,2821,70,505,37,7127,1296
12/1/2014,10,2,0,0,2795,2887,237,387,500,17,162,24,83,10,2589,110,2825,1152,697,1352,3500,1827,1940,527,47,4056,2693,456,5727,110,56,1443,477,110,257,15,14,71,211,43,17,185,6,2,393,996,777,654,418,182,14,1495,42,7,15,1297,3053,52,646,52,9162,1570
1/1/2015,6,1,1,0,2808,2731,264,385,472,27,159,13,81,8,2770,116,2963,1006,721,1369,3329,1639,2055,586,41,4928,2777,426,5963,77,65,1428,577,266,298,17,27,64,153,33,10,148,9,3,419,966,786,634,432,217,8,1333,35,16,18,1367,3379,51,650,31,10886,1689
2/1/2015,5,5,0,1,2393,2653,201,365,537,22,140,11,84,9,2474,88,2726,969,628,1146,3149,1675,1825,481,46,4157,2409,349,5115,88,69,1498,467,304,322,23,14,59,156,56,26,161,3,2,398,886,771,483,351,160,4,827,45,14,10,1199,2803,51,464,49,9381,1214
3/1/2015,9,3,2,1,2534,2811,219,470,643,26,159,20,89,6,2718,101,2834,1105,704,1325,3463,1965,1987,532,32,4431,2814,472,5378,101,73,1498,562,117,330,39,34,54,180,48,29,230,10,5,450,905,841,507,369,236,5,853,59,28,7,1175,3296,70,572,36,9571,1280
4/1/2015,10,9,0,1,2225,2352,206,355,527,13,137,18,83,9,2280,103,2624,1236,626,1226,3754,1814,1742,495,29,4206,2418,342,5027,119,79,1741,553,115,291,18,17,61,183,35,15,119,8,2,450,883,685,465,349,155,19,936,31,9,10,1037,2971,66,534,32,10597,1246
5/1/2015,4,1,0,1,2313,2488,206,405,593,24,156,22,95,12,2449,101,2681,1086,747,1226,3607,1955,1752,437,50,4594,2485,350,5094,107,76,1695,595,137,353,50,64,64,141,51,33,68,14,2,442,994,742,469,347,182,2,883,44,9,10,1167,3132,65,533,33,11135,1160
6/1/2015,5,0,0,0,2186,2273,186,398,585,23,131,14,92,8,2361,122,2424,1068,709,1191,3346,1912,1614,435,39,4477,2328,374,4961,77,82,1515,596,90,331,11,46,69,188,60,39,66,14,3,475,954,783,399,299,173,2,907,43,9,14,1026,2992,57,514,50,10876,1220
7/1/2015,5,0,0,0,2136,2261,171,446,545,14,116,5,76,14,2330,78,2455,914,720,1120,3220,1850,1681,407,40,4033,2274,394,5163,101,69,1821,660,207,354,36,27,44,281,29,37,58,6,4,508,1058,814,427,277,182,2,975,48,7,21,1065,3045,80,464,32,10720,1234
8/1/2015,4,1,0,2,2301,2445,207,419,521,22,95,16,73,13,2477,117,2434,922,672,1078,3125,1735,1637,439,37,4133,2305,493,5329,105,71,1688,615,116,268,41,160,56,185,55,31,55,12,1,463,986,750,484,299,195,4,861,58,8,17,1139,3235,40,508,38,9935,1128
9/1/2015,5,1,2,0,2226,2350,172,444,577,24,110,12,73,18,2444,104,2522,938,614,1011,3210,1904,1636,422,41,3975,2300,461,5255,93,71,1533,557,157,306,22,28,46,208,45,24,54,5,0,456,1062,749,452,301,158,6,822,54,11,21,1124,3133,41,434,60,9098,1200
10/1/2015,9,2,0,2,2507,2737,223,454,612,12,136,13,72,20,2765,130,2574,872,629,1125,3162,1745,1807,483,49,4306,2496,516,5552,121,72,1697,568,250,350,61,39,104,174,65,25,44,6,4,476,1073,868,520,353,198,4,915,55,4,19,1340,3003,63,543,40,9332,1406
11/1/2015,5,2,2,0,2730,2875,192,468,612,25,106,19,74,9,2749,133,2593,863,647,1173,3273,1789,1824,499,32,4425,2500,404,5516,137,67,1609,568,255,314,34,15,57,94,57,24,134,10,2,411,1070,778,508,318,181,4,943,63,4,26,1323,2782,72,566,52,8629,1276
12/1/2015,6,3,0,1,2756,2883,225,379,572,20,124,15,60,11,2631,121,2801,928,764,1124,3308,2091,1906,503,43,4385,2620,452,5682,127,63,1706,612,166,325,37,6,57,218,63,31,112,16,9,473,1082,898,567,385,207,5,1056,47,3,14,1211,3375,69,633,73,9107,1523
1/1/2016,4,3,0,1,2720,2741,256,392,528,26,111,9,64,12,2740,107,2726,1029,726,1260,3262,1925,1846,502,41,4201,2531,450,5704,108,71,1534,644,408,300,40,5,49,120,61,21,154,5,5,404,1110,944,606,395,207,47,986,40,2,20,1407,3716,73,704,46,9704,1589
2/1/2016,2,1,1,1,2523,2792,191,473,605,22,116,8,73,14,2713,123,2593,958,748,1146,3220,1907,1693,433,54,4307,2662,410,5191,65,77,1525,573,198,375,25,36,75,221,70,29,194,6,2,446,1120,874,430,329,209,38,977,51,2,16,1314,3270,95,509,49,8979,1318
3/1/2016,9,3,0,0,2700,2868,238,538,684,19,120,18,70,5,2698,125,2616,1072,735,1093,3574,1872,1845,482,63,4285,2680,454,5564,78,54,1675,620,163,297,37,40,87,247,40,18,140,4,4,455,1035,901,509,373,201,30,800,53,2,18,1408,3560,49,609,54,9238,1256
4/1/2016,6,4,0,0,2285,2655,198,395,540,18,125,7,77,9,2463,102,2452,965,746,1033,3603,1923,1680,403,39,4841,2603,478,5027,81,76,1660,636,212,338,25,105,63,220,27,20,82,5,1,483,1048,901,447,324,205,5,997,45,3,16,1268,3489,61,537,44,9687,1249
5/1/2016,2,1,0,1,2257,2562,172,399,550,22,116,17,69,5,2426,106,2421,969,769,986,3424,1991,1729,390,41,4716,2572,472,4980,110,74,1589,611,118,340,36,53,72,169,43,21,73,8,11,442,1093,812,417,273,168,2,820,48,2,19,1245,3495,55,488,45,9098,1123
6/1/2016,3,3,0,1,2167,2263,150,420,596,28,97,20,62,5,2190,80,2290,977,736,1052,3457,2093,1652,388,35,4381,2291,375,4578,83,87,1556,646,145,360,44,30,71,206,45,26,45,5,7,419,1094,715,403,293,175,6,874,50,3,18,1129,3346,53,464,36,9510,1162
7/1/2016,5,3,0,1,2227,2349,164,393,476,23,119,14,65,12,2357,91,2402,888,648,1052,3416,1994,1665,366,34,4134,2276,475,5063,120,87,1569,636,299,367,21,44,58,207,58,33,63,3,4,471,980,874,457,243,146,25,985,40,8,21,1163,3274,57,472,64,10375,1102
8/1/2016,6,3,0,0,2174,2375,170,460,572,12,103,8,53,11,2591,101,2435,961,687,1069,3312,1934,1846,378,43,4045,2379,447,4937,96,68,1567,703,117,382,38,21,65,256,46,27,79,3,4,453,1012,793,365,272,191,10,730,69,1,15,1209,3477,50,405,52,11285,1183
9/1/2016,9,3,1,1,2276,2520,184,374,590,23,104,13,73,11,2514,98,2418,910,670,1025,3343,1921,1771,387,31,4054,2227,424,5315,126,81,1499,583,179,363,45,15,49,142,24,14,61,6,4,431,1022,816,403,262,193,2,772,55,13,11,1294,3485,69,494,53,10417,1067
10/1/2016,8,0,1,0,2460,2723,173,490,594,13,115,11,68,9,2673,117,2577,1073,673,1174,3375,1777,1893,360,42,3878,2358,530,5511,110,80,1558,620,268,389,58,30,86,175,104,24,72,3,2,448,1152,822,470,288,210,6,892,45,8,15,1297,3554,58,500,52,9645,1302
11/1/2016,8,2,0,0,2543,2855,185,517,633,19,126,13,80,10,2735,108,2415,961,703,1133,3360,1982,1871,394,52,4285,2516,522,5264,165,85,1448,577,250,375,54,48,174,181,52,23,132,5,9,436,1044,869,452,289,190,5,957,44,2,14,1408,3663,56,531,50,10999,1257
12/1/2016,6,2,0,2,2815,3050,244,409,577,13,110,28,74,8,2628,107,2374,942,653,1087,3126,2224,1855,477,43,3783,2514,562,5675,183,81,1661,626,248,332,33,22,48,200,93,31,100,6,11,480,1070,940,553,401,206,12,1207,43,5,17,1386,4012,66,720,46,11126,1553
1/1/2017,5,0,0,1,2866,2874,269,470,673,19,133,10,66,4,2700,121,2680,945,685,1262,3353,1907,1929,431,35,3947,2697,538,5730,142,57,1594,554,469,352,48,31,59,135,47,21,106,3,5,404,1009,938,553,359,206,18,1138,44,9,22,1440,3764,75,703,37,10087,1606
2/1/2017,6,0,0,0,2463,2702,174,538,704,22,112,14,56,5,2445,105,2299,906,581,1067,2954,1875,1614,336,33,3901,2225,455,4926,111,88,1287,481,173,318,36,19,38,142,59,19,114,7,6,392,905,762,415,246,177,5,952,54,12,15,1248,3228,62,473,43,11057,1106
3/1/2017,5,4,1,0,2522,2935,200,577,673,18,140,10,69,8,2731,112,2514,979,631,1208,3645,2170,1696,394,54,4422,2391,405,5300,120,94,1414,549,257,362,48,123,66,179,54,18,145,4,1,436,1047,838,442,254,197,2,859,56,9,12,1256,3676,46,479,66,11500,1140
4/1/2017,3,2,0,1,2204,2608,214,419,495,18,120,8,55,13,2244,51,2363,842,586,1175,3600,1999,1557,416,25,3844,2119,446,5023,151,58,1633,514,161,363,32,23,48,83,53,28,78,5,1,398,944,802,424,301,176,9,972,43,15,9,1110,3438,53,526,55,10335,1273
5/1/2017,2,1,0,0,2133,2631,174,540,687,21,124,11,67,6,2455,18,2397,833,630,1160,3421,2247,1608,396,60,4467,2253,409,4922,134,102,1642,550,186,338,55,36,56,109,63,23,73,5,12,423,1076,877,352,236,171,2,866,53,1,9,1173,3582,68,421,50,12278,1167
6/1/2017,9,1,0,2,2070,2453,183,495,593,22,113,14,73,6,2499,25,2146,823,628,1000,3180,2106,1509,370,38,4106,2100,425,4722,140,69,1510,538,122,297,70,21,172,246,55,43,78,4,7,395,1041,710,367,261,194,3,715,52,5,13,1167,3483,41,464,63,11118,1163
7/1/2017,4,3,1,1,2037,2324,162,463,594,11,140,13,94,9,2289,17,2035,865,609,1051,2899,2043,1468,380,34,3894,2072,494,4774,154,90,1541,569,274,352,135,7,55,222,66,42,55,9,19,455,1081,807,422,288,168,4,776,57,3,9,1091,3326,44,473,49,10470,1116
8/1/2017,4,1,0,1,2075,2482,143,554,605,24,108,12,70,8,2573,25,2103,829,623,1015,3046,2088,1509,338,37,4215,2153,522,4636,167,67,1428,544,107,353,35,15,44,104,57,25,75,8,7,461,1035,771,399,232,179,4,811,54,5,19,1126,3417,38,432,43,11039,1177
9/1/2017,5,1,1,1,2249,2481,186,424,663,21,103,3,70,5,2445,23,2073,757,551,989,3122,1941,1563,354,27,3917,2143,676,5038,169,80,1461,536,269,378,58,19,65,230,56,27,50,4,5,445,1047,779,405,251,173,2,803,50,5,11,1119,3240,39,490,30,10086,1181
10/1/2017,4,0,0,2,2509,2906,207,536,745,12,117,13,76,10,2764,28,2386,934,697,1123,3572,2045,1634,403,44,4468,2477,631,5440,171,82,1439,511,106,332,55,14,53,159,65,23,76,6,4,410,1186,883,434,264,192,5,981,58,3,15,1237,3424,41,562,41,10738,1392
11/1/2017,1,2,0,0,2406,2847,178,529,636,11,110,13,63,10,2773,25,2511,984,621,1096,3232,2022,1703,327,46,4586,2382,447,5216,204,71,1692,544,226,412,129,30,43,133,77,30,142,6,8,466,1133,834,390,232,178,5,876,51,0,16,1328,3318,38,471,49,10385,1346
12/1/2017,4,2,0,0,2951,2977,245,495,559,22,131,10,91,3,2820,17,2329,875,695,1068,3053,2112,1765,409,33,4080,2424,447,5465,245,86,1492,609,329,410,95,10,39,173,92,32,120,5,2,429,1121,866,543,323,203,21,1386,37,5,18,1428,3943,34,694,51,10435,1505
1/1/2018,5,1,1,2,2846,2867,255,480,609,18,142,15,77,8,2939,24,2617,923,735,1140,3415,2084,1871,419,34,4593,2621,563,5647,218,94,1442,602,513,373,41,16,55,89,51,33,117,2,10,465,1267,917,540,278,218,4,978,56,5,13,1446,3829,56,636,55,10008,1596
2/1/2018,6,0,0,1,2329,2754,185,471,648,16,115,10,80,11,2765,21,2118,783,570,1043,3230,1955,1520,346,35,4006,2274,397,4645,159,83,1260,562,276,405,33,10,38,208,67,19,173,2,5,431,1025,852,373,228,174,1,897,59,2,11,1390,3673,46,502,50,8722,1175
3/1/2018,5,3,0,0,2561,3042,227,572,736,16,146,8,85,5,2847,25,2307,904,651,1155,3318,1986,1656,397,32,3998,2279,463,4943,214,93,1583,604,229,432,47,21,163,174,102,39,122,18,2,472,1183,918,422,257,213,7,1106,64,2,18,1356,3806,48,557,50,10213,1354
4/1/2018,4,1,0,2,2336,2562,225,477,622,19,119,17,53,14,2337,48,2294,928,704,1163,3209,1956,1621,364,32,4110,2244,395,4710,138,80,1522,608,263,410,47,10,61,122,41,25,98,9,9,444,1069,816,416,254,189,13,941,46,6,20,1231,3523,50,544,47,10002,1246
5/1/2018,6,1,0,0,2185,2528,172,587,705,16,98,19,62,12,2416,90,2337,856,789,1148,3343,2199,1680,365,37,4942,2181,423,4602,203,96,1513,622,139,367,82,20,124,272,52,78,90,6,4,458,1192,692,315,217,169,21,782,52,2,13,1218,3438,59,474,58,11841,1219
6/1/2018,6,1,0,1,2238,2401,164,530,635,16,129,16,58,13,2494,94,2078,751,628,973,2898,2010,1403,332,36,4349,1930,365,4502,189,84,1424,579,135,371,71,7,47,90,21,37,53,4,5,479,1182,722,335,232,194,2,977,60,3,5,1272,3306,38,435,42,9919,1065
7/1/2018,6,2,1,2,2255,2289,168,406,627,16,127,11,75,10,2451,85,2111,804,660,987,2903,2093,1553,278,40,4322,2124,508,4641,160,76,1356,581,197,389,65,70,126,192,55,27,69,5,16,511,1170,882,319,190,182,12,946,57,0,21,1194,3171,28,436,42,9157,1049
8/1/2018,11,4,0,0,2303,2473,176,485,685,12,108,12,71,13,2612,71,2033,795,672,1015,2945,2006,1507,264,37,4360,2141,551,4792,233,88,1532,680,132,472,86,132,64,255,33,69,65,11,4,510,1298,782,349,170,180,6,922,54,1,11,1265,3353,52,440,54,10042,1148
9/1/2018,4,4,0,2,2304,2625,219,452,576,21,133,19,89,9,2651,104,2103,808,563,1019,2889,2152,1487,315,38,4244,2250,506,4825,224,93,1334,562,299,468,106,9,45,82,40,28,61,3,4,508,1285,853,414,214,183,10,916,60,0,12,1280,3306,34,543,54,8661,1214
10/1/2018,7,2,0,0,2501,2593,209,465,664,17,110,14,68,7,2841,91,2162,931,608,1137,3418,2132,1633,335,36,4648,2274,427,5196,156,95,1230,544,76,375,42,23,52,133,26,19,67,4,1,466,1291,822,365,230,191,4,843,59,1,14,1343,3596,37,490,42,8487,1101
11/1/2018,4,0,0,0,2563,2822,221,558,786,18,131,7,60,7,2970,98,2225,859,726,1182,3368,2101,1656,338,33,4457,2333,389,4967,220,76,1468,601,277,549,67,8,50,126,50,38,122,3,4,489,1173,881,380,222,212,7,956,74,2,14,1454,3484,52,469,46,8808,1206
12/1/2018,11,0,0,1,3298,2940,255,462,646,22,137,8,64,7,3067,109,2166,886,727,1135,3179,2181,1648,360,36,4081,2368,379,5117,250,88,1593,654,323,447,93,15,162,151,76,51,116,4,8,516,1161,881,486,245,212,30,1279,54,3,16,1588,4101,36,647,61,8497,1438
1/1/2019,10,4,0,1,3073,2770,257,448,621,14,148,23,70,2,2999,114,2369,936,733,1223,3135,2253,1776,380,54,4261,2466,430,5425,190,87,1476,703,501,467,48,167,85,110,80,38,132,4,6,503,1328,958,447,243,215,44,940,38,0,17,1671,4280,48,572,94,9005,1618
2/1/2019,5,1,1,3,2551,2605,161,535,727,16,121,8,90,11,2880,100,2042,697,690,1104,3107,1954,1496,303,30,3983,2171,355,4422,170,69,1310,563,231,452,69,94,93,202,57,109,232,8,7,526,1274,854,370,215,179,11,863,52,3,18,1472,3603,29,491,159,8485,1172
3/1/2019,6,0,0,2,2637,3010,231,614,862,21,153,17,94,7,3023,115,2160,852,644,1188,3287,2364,1495,354,44,4441,2457,397,4952,169,109,1461,601,268,496,54,125,230,143,67,26,151,2,2,582,1281,889,502,207,215,24,1130,57,3,13,1483,3914,46,542,138,9910,1252
